venue,photo_url,wikipedia_title
"Himachal Pradesh Cricket Association Stadium, Dharamsala",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Dharamshala_stadium%2Chimachal_pradesh.jpg/330px-Dharamshala_stadium%2Chimachal_pradesh.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Himachal Pradesh Cricket Association Stadium
Holkar Cricket Stadium,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Maharani_Usha_Raje_Cricket_Stadium_Indore_-_panoramio.jpg/330px-Maharani_Usha_Raje_Cricket_Stadium_Indore_-_panoramio.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Holkar Stadium
JSCA International Stadium Complex,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/JSCAStad.jpg/330px-JSCAStad.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,JSCA International Stadium Complex
Kingsmead,,Kingsmead Cricket Ground
"M Chinnaswamy Stadium, Bengaluru",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Chinnaswamy_Stadium.jpg/330px-Chinnaswamy_Stadium.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,M. Chinnaswamy Stadium
"MA Chidambaram Stadium, Chepauk, Chennai",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/M.A.Chidambaram_Stadium_before_IND_vs_AUS_3rd_ODI_2023.jpg/330px-M.A.Chidambaram_Stadium_before_IND_vs_AUS_3rd_ODI_2023.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,M. A. Chidambaram Stadium
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Maharaja_Yadavindra_Singh_International_Cricket_Stadium.png/330px-Maharaja_Yadavindra_Singh_International_Cricket_Stadium.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Maharaja Yadavindra Singh International Cricket Stadium
"Maharashtra Cricket Association Stadium, Pune",,
"Narendra Modi Stadium, Ahmedabad",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Narendra_Modi_Stadium_view_from_the_gallery.jpg/330px-Narendra_Modi_Stadium_view_from_the_gallery.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Narendra Modi Stadium
Nehru Stadium,,
New Wanderers Stadium,,
Newlands,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Newlands_Cricket_Ground.jpg/330px-Newlands_Cricket_Ground.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Newlands Cricket Ground
OUTsurance Oval,,
"Punjab Cricket Association IS Bindra Stadium, Mohali",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/LightsMohali.png/330px-LightsMohali.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,I. S. Bindra Stadium
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Uppal_Stadium%2C_Hyderabad.png/330px-Uppal_Stadium%2C_Hyderabad.png?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Rajiv Gandhi International Cricket Stadium
Saurashtra Cricket Association Stadium,,
"Sawai Mansingh Stadium, Jaipur",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Sawai-Mansingh-Stadium-Jaipur.jpg/330px-Sawai-Mansingh-Stadium-Jaipur.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Sawai Mansingh Stadium
"Shaheed Veer Narayan Singh International Stadium, Raipur",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Shaheed_Veer_Narayan_Singh_International_Cricket_Stadium%2C_Raipur.jpg/330px-Shaheed_Veer_Narayan_Singh_International_Cricket_Stadium%2C_Raipur.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Shaheed Veer Narayan Singh International Cricket Stadium
Sharjah Cricket Stadium,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/SharjahCricket.JPG/330px-SharjahCricket.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Sharjah Cricket Stadium
St George's Park,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Sahara_Oval_St_George%27s%2C_uploaded_2005.jpg/330px-Sahara_Oval_St_George%27s%2C_uploaded_2005.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,St George's Park Cricket Ground
SuperSport Park,,
"Vidarbha Cricket Association Stadium, Jamtha",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/VCA_Nagpur%2CIndia.jpg/330px-VCA_Nagpur%2CIndia.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Vidarbha Cricket Association Stadium
"Wankhede Stadium, Mumbai",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Wankhede_ICC_WCF.jpg/330px-Wankhede_ICC_WCF.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Wankhede Stadium
"Zayed Cricket Stadium, Abu Dhabi",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Sheikh_Zayed_Cricket_Stadium-01.jpg/330px-Sheikh_Zayed_Cricket_Stadium-01.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,Sheikh Zayed Cricket Stadium
